protocol,ip_src,ip_dst,port_src,port_dst,packet_length,timestamp,ttl,label
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716431.941158,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716431.941335,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716432.007747,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716432.007748,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716432.007929,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716432.00834,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716432.132291,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716432.132451,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716432.132808,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716432.244438,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716432.244612,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716432.245087,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716432.419921,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716432.420064,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716432.420436,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.422216,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.422551,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.422846,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.521884,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.52203,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.522293,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.65289,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.65366,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.653992,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.730483,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.730797,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.731035,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.78571,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.786043,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.786356,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.831112,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.831252,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.831554,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.872275,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.872434,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716435.872821,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716435.893435,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716435.893628,64,normal
